Country	Region	Area_km2	Population	GDP_dollar	GDP_per_capita	Capital	Latitude	Longitude	Latitude_deg	Longitude_deg	Sanitation_total	Sanitation_urban	Sanitation_rural	Drinking_total	Drinking_urban	Drinking_rural	Life_Expectancy_Male	Life_Expectancy_Female	School_Total	School_Male	School_Female	Housing_total	Housing_urban	Housing_rural	Unemployment_both	Unemployment_male	Unemployment_female	Marriage_male	Marriage_female	Contraceptives	Fertility	Youth_fertility	HIV_AIDS	HIV_rate_women	Illiteracy_male	Illiteracy_female	Employees_male	Employees_female	Employers_male	Employers_female	Own_account_male	Own_account_female	Family_worker_male	Family_worker_female	Density
Cote_d'Ivoire	AF	322460	17298040	24780000000	1500	Abidjan__	5.3167	-4.0333	N 5 deg 19	W 4 deg 02	52	71	35	81	92	72	45.2	46.8	6	8	5							28	22	15	5.1	133	570	57	30.5	48.5									53.6
Croatia	EU	56542	4495904	50330000000	11200	Zagreb	46.8	16	N 46 deg 48	E 16 deg 0							71.3	78.4	13	13	13	1.2			14.3	13.1	15.7	30	26		1.3	15	0		0.4	0.3	75	77	7	3	17	14	2	6	79.5
Cuba	CA	110860	11346670	33920000000	3000	Havana	23.1333	-82.3667	N 23 deg 08	W 82 deg 22	98	99	95	91	95	77	75.3	79.1	13	13	13	1	1	1							1.6	50	3	33	0.2	0.2									102.4
Cyprus	EU	9250	780133	15710000000	20300	Nicosia	35.1333	33.4667	N 35 deg 8	E 33 deg 28	100	100	100	100	100	100	76	81	13	13	13	0.6	0.6	0.7	4.1	3.8	4.6	27	23		1.6	8			0.3	0.2	70	84	9	1	20	8	1	7	84.3
Czech_Republic	EU	78866	10241138	1.72E+11	16800	Prague	40.9167	21	N 40 deg 55	E 21 deg 00							72.2	78.7	15	14	15	1	1.1	1	7.3	5.9	9	28	25	72	1.2	12	3	32			79	89	6	2	14	7	0	1	129.9
Denmark	EU	43094	5432335	1.74E+11	32200	Copenhagen	55.6667	12.5833	N 55 deg 40	E 12 deg 35				100	100	100	74.8	79.4	17	16	17				5.5	5	6.2	33	31	78	1.8	7	5	18			88	95			11	4	0	1	126.1
Djibouti	AF	23000	476703	619000000	1300	Djibouti	11.5	43.25	N 11 deg 30	E 43 deg 15	91	99	50	100	100	100	51.4	53.9	4	5	3										5.1	57	9	56											20.7
Dominica	CA	754	69029	384000000	5500	Roseau	15.3	-61.3833	N 15 deg 18	W 61 deg 23	83	86	75	97	100	90			12		12									50							61	71	15	6	22	19	1	3	91.6
Dominican_Republic	CA	48730	9049595	55680000000	6300	Santo_Domingo	18.5	-69.9833	N 18 deg 30	W 69 deg 59	67	70	60	86	90	78	63.7	70.9							15.6	9.4	26	26	21	70	2.7	93	88	27	6.9	5	48	68	4	2	46	28			185.7
East_Timor	AS	15007	1040880	370000000	400	Dili	-8.5667	125.5667	S 8 deg 34	E 125 deg 34							54.1	56.3	11												7.8	182													69.4
Ecuador	SA	283560	13363593	49510000000	3700	Quito	-0.2167	-78.5	S 0 deg 13	W 78 deg 30	86	92	74	85	90	75	71.3	77.2							11.5	9.1	15	25	22	66	2.8	85	21	34	3.6	3.5	60	55	8	4	28	32	3	9	47.1
Egypt	AF	1001450	77505756	3.16E+11	4200	Cairo	30.05	31.25	N 30 deg 03	E 31 deg 15	98	100	96	97	99	96	67.5	71.8	12			1.3	1.3	1.4	9.2	5.6	22.6	28	22	56	3.3	46	12	13	21	33.1	58	68	20	6	13	7	8	20	77.4
El_Salvador	CA	21040	6704932	32350000000	4900	San_Salvador	13.6667	-89.1667	N 13 deg 40	W 89 deg 10	82	89	76	77	91	64	67.7	73.7	11	11	11				6.9	9.2	3.5	25	22	67	2.9	87	29	34	10.4	11.9	62	42	6	3	22	36	8	9	318.7
Equatorial_Guinea	AF	28051	529034	1270000000	2700	Malabo	3.35	8.5	N 3 deg 21	E 8 deg 30	53	60	46	44	45	42	42.8	44.1	9	10	8										5.9	192			6.1	6.3									18.9
Eritrea	AF	121320	4669638	4154000000	900	Asmara	15.3333	38.9167	N 15 deg 20	E 38 deg 55	13	66	1	46	63	42	51.5	55.4	5	6	4							25	20	8	5.5	94	60	56											38.5
Estonia	EU	45226	1332893	19230000000	14300	Tallin	59.4333	24.75	N 59 deg 26	E 24 deg 45		93					65.4	76.9	16	14	17				10	10.2	9.9	25	22	70	1.4	24	8	34	0.3	0.2	88	94	4	2	8	4	0	0	29.5
Ethiopia	AF	1127127	73053286	54890000000	800	Addis_Ababa	9.0167	38.7333	N 9 deg 1 	E 38 deg 44	12	33	7	24	81	12	46.5	48.6	5	6	4							26	21	8	5.9	96	1500	55	37	48.2									64.8
Fiji	AU	18270	893354	5173000000	5900	Suva	-18.1667	178.45	S 18 deg 10	E 178 deg 27	43	75	12	47	43	51	65.6	70										26	23	40	2.9	41	1		0.9	0.6									48.9
Finland	EU	338145	5223442	1.51E+11	29000	Helsinki	60.1667	24.9667	N 60 deg 10	E 24 deg 58	100	100	100	100	100	100	75	81.7	18	17	19	0.8	0.8	1	9	9.2	8.9	32	30	77	1.7	11	2				82	91	16	8			0	0	15.4
France	EU	547030	60656178	1.74E+12	28700	Paris	48.8667	2.3333	N 48 deg 52	E 2 deg 20							75.8	83	15	15	16	0.7	0.7	0.7	9.7	8.7	10.9	32	30	75	1.9	14	120	27			89	94			11	6			110.9
Gabon	AF	267667	1394307	7966000000	5900	Libreville	0.3833	9.45	N 0 deg 23	E 9 deg 27	53	55	43	86	95	47	53.8	55.4	12	12	12				24.5	20.5	29.6	26	22	33	4	114	48	58											5.2
Gambia	AF	11300	1595086	2799000000	1800	Banjul	13.4667	-16.6	N 13 deg 28	W 16 deg 36							54	56.9				1.5	1.3	1.6				28	20	10	4.7	127	7	57											141.2
Georgia	AS	69700	4677401	14450000000	3100	Tbilisi	41.5667	44.8	N 41 deg 34	E 44 deg 48	100	100	99	79	90	61	66.5	74.3	11	11	11				11.5	11.5	11.5	..	24	41	1.5	35	3	33			34	34	2	1	44	26	20	39	67.1
Germany	EU	357021	82431390	2.36E+12	28700	Berlin	52.5167	13.4	N 52 deg 31	E 13 deg 24							75.6	81.4	16	16	16	0.5	0.5	0.5	10	10.4	9.5			75	1.3	11	43	22			86	92	7	3	7	4	0	2	230.9
Ghana	AF	239460	21946247	48270000000	2300	Accra	5.55	-0.2167	N 5 deg 33	W 0 deg 13	72	74	70	73	91	62	56.2	57.1	7	8	7							27	21	25	4.4	70	350	56			21	11	5	5	61	71	8	10	91.6
Greece	EU	131940	10668354	2.26E+11	21300	Athens	37.9833	23.7333	N 37 deg 59	E 23 deg 44							75.6	80.8	15	15	15				9.6	6.2	14.6	29	25		1.3	10	9	20	0.6	0.5	58	64	10	3	28	19	4	14	80.9
Grenada	CA	344	89502	440000000	5000	Saint_George_s	12.05	-61.75	N 12 deg 3 	W 61 deg 45	97	96	97	95	97	93														54															260.2
Guatemala	CA	108890	12013907	59470000000	4200	Guatemala	14.6333	-90.5167	N 14 deg 38	W 90 deg 31	81	83	79	92	98	88	63.4	70.8							1.8	1.6	2.3		20	43	4.6	115	78	42	13.6	21.6	31	26	7	2	30	37			110.3
Guinea	AF	245857	9452670	19500000000	2100	Malabo	3.75	8.7833	N 3 deg 45	E 8 deg 47	58	94	41	48	72	36	53.2	54	5	6	4							28	19	6	5.9	201	140	55											38.4
Guyana	SA	214970	765283	2899000000	3800	Georgetown	6.8333	-58.2	N 6 deg 50	W 58 deg 12	87	97	81	94	98	91	59.8	65.9				1.1	1.1	1.5				30	28	37	2.3	67	11	55											3.6
Haiti	CA	27750	8121622	12050000000	1500	Port_au_Prince	18.5333	-72.3333	N 18 deg 32	W 72 deg 20	28	50	16	46	49	45	50.6	52.3										27	22	28	4	64	280	58	34.2	33.5									292.7
Honduras	CA	112090	7167902	18790000000	2800	Tegucigalpa	14.1	-87.2167	N 14 deg 6	W 87 deg 13	75	93	55	88	95	81	65.6	69.7				2.2	1.8	2.6	4.2	4	4.8		20	62	3.7	103	63	56	13.1	9.1	46	48			41	42			63.9
Hong_Kong	AS	1092	6898686	2.35E+11	34200	Hong_Kong	22.2833	114.1333	N 22 deg 17	E 114 deg 08							78.6	84.6	14	14	14				7.9	9.3	"6,2"	31	29	86	0.9	5	3	35			83	93	7	2	10	3	0	1	6317.5
Hungary	EU	93030	10006835	1.49E+11	14900	Budapest	47.5	19.0833	N 47 deg 30	E 19 deg 05	99	100	98	99	100	98	68.4	76.7	15	15	16	0.8	0.8	0.8	5.3	6.1	5.6	29	26	77	1.3	22	3		0.6	0.4	83	91	7	3	9	5	0	1	107.6
Iceland	EU	103000	296737	9373000000	31900	Reykjavik	64.1333	-21.9333	N 64 deg 08	W 21 deg 56							78.7	82.5	18	16	19				3.3	"3,6"	2.9	33	31		2	19	1				76	91	9	3	14	6	0	0	2.9
India	AS	3287590	1080264388	3.32E+12	3100	New_Delhi	28.6	77.2	N 28 deg 36	E 77 deg 12	28	61	15	84	95	79	61.6	64.7	9	10	8	2.7	2.6	2.8	4.3	4.3	4.3	25	20	48	3.1	80	5100	38	15.8	32.3									328.6
Indonesia	AS	1919440	241973879	8.27E+11	3500	Jakarta	-6.1667	106.8	S 6 deg 10	E 106 deg 48	55	69	46	78	90	69	64.6	68.6	11	11	11				9.1			26	23	60	2.4	55	110	14	1.5	2.4	39	28	2	1	30	24	8	40	126.1
Iran	ME	1648000	68017860	5.17E+11	7700	Tehran	35.6667	51.4167	N 35 deg 40	E 51 deg 25	83	86	79	92	98	83	68.8	71.7	11	12	11				12.3	8.2	4.1	25	22	73	2.1	22	31	12	4.6	9.7	48	47	4	1	35	17	3	18	41.3
Iraq	ME	437072	26074906	54400000000	2100	Baghdad	33.35	44.4167	N 33 deg 21	E 44 deg 25	79	93	31	85	96	48	57.3	60.4	9	10	8	1.5	1.8	1				26	22	14	4.8	42	1		0.3	0.6									59.7
